#amount(float),currency(enum),project(string),category(string),description(string),expense(boolean),date(yyyymmdd)
3000,3,South Korea,Food,Gimbap,True,20220906
7,2,Daily Life,Clothing,Socks,True,20221004
3.2,2,Daily Life,Food,Spicy Pumpkin Latte,True,20221113
400,2,South Korea,Transport,Flight Tickets to Jeju-do,True,20220908
350,1,Daily Life,Housing,November rent,True,20211206
7200,3,South Korea,Travelling,Temple entrance fee,True,20220917
12700,3,South Korea,Food,Lemon soju,True,20220926
1.5,2,Daily Life,Others,Post card to grandma Marion,True,20220911
90,2,Ski Trip,Others,Ski rental,True,20221029
537,2,Ski Trip,Transport,Car rental,True,20221105
37,1,South Korea,Health,November Health Insurance,True,20221128
